Vamana,Ninja Tabi,Golden Blade,Stone of Gaia,Ichaival,Hide of the Nemean Lion,Stone of Gaia
Ravana,Warrior Tabi,Contagion,Emperor's Armor,Atalanta's Bow,Hastened Katana,Malice
Odin,Talaria Boots,Bulwark of Hope,Hide of the Urchin,Contagion,Gladiator's Shield,Spirit Robe
Cupid,Talaria Boots,Mantle of Discord,Titan's Bane,Deathbringer,Void Shield,Gladiator's Shield
Olorun,Shoes of the Magi,Pythagorem's Piece,Bumba's Mask,Dynasty Plate Helm,Magi's Cloak,Soul Gem
Skadi,Talaria Boots,Pestilence,Lono's Mask,Midgardian Mail,Mail of Renewal,Witchblade
Hades,Shoes of the Magi,Stone of Gaia,Pythagorem's Piece,Warlock's Staff,Warlock's Staff,Jade Emperor's Crown
Camazotz,Talaria Boots,Shifter's Shield,Jotunn's Wrath,Winged Blade,The Crusher,Oni Hunter's Garb
Tyr,Ninja Tabi,Shield of Regrowth,Genji's Guard,Frostbound Hammer,Masamune,Gladiator's Shield
Artio,Reinforced Shoes,Breastplate of Valor,Gauntlet of Thebes,Heartward Amulet,Spectral Armor,Toxic Blade
Persephone,Travelers Shoes,Bancroft's Talon,Bumba's Mask,Talisman of Energy,Mantle of Discord,Doom Orb
Ne Zha,Ninja Tabi,Emperor's Armor,Arondight,Relic Dagger,Golden Blade,Poisoned Star
Chernobog,Warrior Tabi,The Crusher,Shifter's Shield,Gauntlet of Thebes,Mail of Renewal,Odysseus' Bow
Erlang Shen,Warrior Tabi,Golden Blade,Arondight,Contagion,Shogun's Kusari,Odysseus' Bow
Apollo,Talaria Boots,Breastplate of Valor,Midgardian Mail,Atalanta's Bow,Atalanta's Bow,Runic Shield
Bellona,Ninja Tabi,Ancile,Toxic Blade,Mail of Renewal,Arondight,Heartward Amulet
Sol,Shoes of Focus,Sovereignty,Spectral Armor,Gauntlet of Thebes,Genji's Guard,Shogun's Kusari
Da Ji,Talaria Boots,Gauntlet of Thebes,Poisoned Star,Stone of Gaia,Atalanta's Bow,Lono's Mask
Sobek,Shoes of the Magi,Pythagorem's Piece,Mantle of Discord,Hastened Ring,Pythagorem's Piece,Staff Of Myrddin
Cu Chulainn,Ninja Tabi,Silverbranch Bow,Berserker's Shield,Void Shield,Stone of Gaia,Titan's Bane
Sobek,Shoes of Focus,Demonic Grip,Rangda's Mask,Shaman's Ring,Staff Of Myrddin,Dynasty Plate Helm
Odin,Warrior Tabi,Hide of the Nemean Lion,Stone Cutting Sword,Emperor's Armor,Qin's Sais,Ichaival
Nike,Warrior Tabi,Rangda's Mask,Devourer's Gauntlet,Mantle of Discord,Atalanta's Bow,Breastplate of Valor
Thoth,Shoes of Focus,Stone of Binding,Demonic Grip,Spear of the Magus,Polynomicon,Stone of Binding
Erlang Shen,Reinforced Greaves,Talisman of Energy,Ancile,Titan's Bane,Silverbranch Bow,Wind Demon
Cabrakan,Travelers Shoes,Gem of Isolation,Stone of Binding,Rangda's Mask,Pridwen,Spirit Robe
Camazotz,Talaria Boots,The Executioner,Contagion,Spectral Armor,Emperor's Armor,Spectral Armor
Zhong Kui,Reinforced Shoes,Polynomicon,Hide of the Nemean Lion,Warlock's Staff,Stone of Fal,Hastened Ring
Jing Wei,Talaria Boots,Shogun's Kusari,Lono's Mask,Magi's Cloak,Shield of Regrowth,Wind Demon
Aphrodite,Shoes of the Magi,Gauntlet of Thebes,Typhon's Fang,Gem of Isolation,Book of Thoth,Toxic Blade
Set,Reinforced Greaves,Witchblade,Mantle of Discord,Blackthorn Hammer,Bumba's Mask,Shogun's Kusari
Sylvanus,Travelers Shoes,Rangda's Mask,Contagion,Typhon's Fang,Stone of Fal,Polynomicon
Thanatos,Ninja Tabi,Spectral Armor,Transcendence,Odysseus' Bow,Runeforged Hammer,Shield of Regrowth
Cerberus,Shoes of the Magi,Pythagorem's Piece,Sovereignty,Jade Emperor's Crown,Relic Dagger,Hide of the Nemean Lion
Horus,Ninja Tabi,Mantle of Discord,Mail of Renewal,Berserker's Shield,Shifter's Shield,Hide of the Urchin
Bakasura,Reinforced Greaves,Oni Hunter's Garb,Silverbranch Bow,Emperor's Armor,Heartward Amulet,Hydra's Lament
Jing Wei,Warrior Tabi,Frostbound Hammer,Midgardian Mail,Wind Demon,Bulwark of Hope,Fail-not
Apollo,Warrior Tabi,Hide of the Nemean Lion,Relic Dagger,Mystical Mail,Transcendence,Stone of Gaia
Hercules,Talaria Boots,Hide of the Nemean Lion,Deathbringer,Emperor's Armor,Spectral Armor,Qin's Sais
Hachiman,Reinforced Greaves,Rage,Shifter's Shield,Mail of Renewal,Asi,Malice
Jormungandr,Travelers Shoes,Pythagorem's Piece,Lotus Crown,Pythagorem's Piece,Rangda's Mask,Book of the Dead
Hachiman,Reinforced Greaves,Spectral Armor,Hydra's Lament,Shifter's Shield,Shifter's Shield,Runic Shield
Chang'e,Travelers Shoes,Breastplate of Valor,Mail of Renewal,Toxic Blade,Midgardian Mail,Bancroft's Talon
Cu Chulainn,Ninja Tabi,Gladiator's Shield,Jotunn's Wrath,Hydra's Lament,Transcendence,Devourer's Gauntlet
Hou Yi,Ninja Tabi,Wind Demon,Toxic Blade,Runic Shield,Mantle of Discord,Odysseus' Bow
Achilles,Ninja Tabi,Bumba's Mask,Midgardian Mail,Shield of Regrowth,Arondight,Hide of the Urchin
Artemis,Reinforced Greaves,Jotunn's Wrath,Qin's Sais,Hydra's Lament,Sovereignty,Hydra's Lament
Ravana,Warrior Tabi,Mystical Mail,Blackthorn Hammer,Ichaival,Malice,Jotunn's Wrath
Fafnir,Reinforced Shoes,Celestial Legion Helm,Spirit Robe,Midgardian Mail,Spear of the Magus,Witchblade
Baron Samedi,Shoes of Focus,Shield of Regrowth,Demonic Grip,Genji's Guard,Celestial Legion Helm,Lono's Mask
Loki,Warrior Tabi,Shogun's Kusari,Relic Dagger,Stone Cutting Sword,Toxic Blade,Sovereignty
Jing Wei,Talaria Boots,Brawler's Beat Stick,Berserker's Shield,Asi,Atalanta's Bow,Mantle of Discord
Fafnir,Shoes of the Magi,Bulwark of Hope,Mail of Renewal,Mystical Mail,Dynasty Plate Helm,Contagion
Baron Samedi,Reinforced Shoes,Witchblade,Hide of the Urchin,Midgardian Mail,Hastened Ring,Emperor's Armor
Ratatoskr,Acorn of Yggdrasil,Blackthorn Hammer,Hide of the Urchin,Titan's Bane,Toxic Blade,Runic Shield
Zhong Kui,Reinforced Shoes,Void Stone,Midgardian Mail,Shaman's Ring,Breastplate of Valor,Void Stone
Thoth,Reinforced Shoes,Bumba's Mask,Rod of Asclepius,Emperor's Armor,Jade Emperor's Crown,Soul Reaver
Terra,Shoes of the Magi,Stone of Fal,Winged Blade,Dynasty Plate Helm,Sovereignty,Void Stone
Artio,Shoes of the Magi,Emperor's Armor,Soul Reaver,Relic Dagger,Lotus Crown,Polynomicon
Izanami,Talaria Boots,Pridwen,Asi,Shield of Regrowth,The Executioner,Hide of the Nemean Lion
Susano,Warrior Tabi,Poisoned Star,Mail of Renewal,Heartward Amulet,Jotunn's Wrath,Mail of Renewal
Kuzenbo,Travelers Shoes,Telkhines Ring,Rod of Asclepius,Breastplate of Valor,Demonic Grip,Genji's Guard
Sobek,Shoes of the Magi,Heartward Amulet,Bancroft's Talon,Pridwen,Warlock's Staff,Spectral Armor
Hachiman,Warrior Tabi,Transcendence,Wind Demon,Silverbranch Bow,Sovereignty,Talisman of Energy
Jing Wei,Talaria Boots,Witchblade,Shogun's Kusari,Gladiator's Shield,Poisoned Star,Berserker's Shield
Baron Samedi,Reinforced Shoes,Warlock's Staff,Book of Thoth,Shield of Regrowth,Heartward Amulet,Gem of Isolation
Fafnir,Shoes of Focus,Shogun's Kusari,Breastplate of Valor,Stone of Gaia,Sovereignty,Bancroft's Talon
Khepri,Reinforced Shoes,Void Stone,Soul Gem,Talisman of Energy,Midgardian Mail,Shaman's Ring
Chang'e,Travelers Shoes,Toxic Blade,Ethereal Staff,Soul Reaver,Book of the Dead,Pythagorem's Piece
Zhong Kui,Reinforced Shoes,Talisman of Energy,Telkhines Ring,Shield of Regrowth,Gem of Isolation,Oni Hunter's Garb
Susano,Warrior Tabi,Heartward Amulet,Golden Blade,Malice,Berserker's Shield,Gladiator's Shield
Horus,Ninja Tabi,Rage,Spirit Robe,Qin's Sais,Stone Cutting Sword,Emperor's Armor
Hercules,Talaria Boots,Odysseus' Bow,Jotunn's Wrath,Runic Shield,Rage,Devourer's Gauntlet
Nike,Ninja Tabi,Devourer's Gauntlet,Malice,Silverbranch Bow,Stone Cutting Sword,Talisman of Energy
Bakasura,Warrior Tabi,Sovereignty,Jotunn's Wrath,Ancile,Magi's Cloak,Toxic Blade
Set,Talaria Boots,Genji's Guard,Contagion,Spirit Robe,Witchblade,Ancile
Xing Tian,Shoes of Focus,Heartward Amulet,Lotus Crown,Hastened Ring,Mystical Mail,Stone of Gaia
Horus,Warrior Tabi,Spirit Robe,Ichaival,Spectral Armor,The Crusher,Deathbringer
Raijin,Travelers Shoes,Warlock's Staff,Contagion,Emperor's Armor,Breastplate of Valor,Stone of Gaia
Nike,Warrior Tabi,Malice,Stone Cutting Sword,Toxic Blade,Wind Demon,Talisman of Energy
Sylvanus,Reinforced Shoes,Soul Reaver,Stone of Fal,Polynomicon,Warlock's Staff,Polynomicon
He Bo,Reinforced Shoes,Pridwen,Rod of Asclepius,Magi's Cloak,Pestilence,Doom Orb
Sylvanus,Shoes of the Magi,Witchblade,Witchblade,Winged Blade,Obsidian Shard,Winged Blade
Chiron,Reinforced Greaves,Malice,Runic Shield,Emperor's Armor,Void Shield,Silverbranch Bow
Baron Samedi,Reinforced Shoes,Mail of Renewal,Genji's Guard,Contagion,Stone of Gaia,Hide of the Urchin
Chronos,Shoes of Focus,Pestilence,Stone of Gaia,Spear of Desolation,Celestial Legion Helm,Gem of Isolation
Geb,Travelers Shoes,Relic Dagger,Spear of the Magus,Hastened Ring,Pestilence,Contagion
Hera,Travelers Shoes,Relic Dagger,Toxic Blade,Relic Dagger,Demonic Grip,Bancroft's Talon
Ullr,Talaria Boots,Frostbound Hammer,Lono's Mask,Gauntlet of Thebes,Devourer's Gauntlet,Heartward Amulet
Ares,Travelers Shoes,Bulwark of Hope,Gem of Isolation,Mystical Mail,Pythagorem's Piece,Witchblade
Hou Yi,Reinforced Greaves,Pridwen,Hide of the Nemean Lion,Witchblade,The Executioner,Runic Shield
Kuzenbo,Shoes of Focus,Magi's Cloak,Genji's Guard,Stone of Binding,Emperor's Armor,Rangda's Mask
Ares,Reinforced Shoes,Winged Blade,Mystical Mail,Witchblade,Rangda's Mask,Polynomicon
The Morrigan,Shoes of the Magi,Ethereal Staff,Relic Dagger,Midgardian Mail,Breastplate of Valor,Obsidian Shard
Chernobog,Warrior Tabi,Devourer's Gauntlet,Jotunn's Wrath,Spirit Robe,Sovereignty,Transcendence
Amaterasu,Warrior Tabi,Winged Blade,Ancile,Qin's Sais,Rage,Genji's Guard
Sylvanus,Travelers Shoes,Pridwen,Stone of Binding,Talisman of Energy,Genji's Guard,Spirit Robe
Chang'e,Shoes of Focus,Gauntlet of Thebes,Celestial Legion Helm,Hastened Ring,Obsidian Shard,Hide of the Nemean Lion
Chronos,Travelers Shoes,Ethereal Staff,Stone of Fal,Shield of Regrowth,Breastplate of Valor,Spirit Robe
Awilix,Reinforced Greaves,Runeforged Hammer,Bumba's Mask,Breastplate of Valor,Stone Cutting Sword,Heartward Amulet
Olorun,Shoes of the Magi,Soul Reaver,Telkhines Ring,Gauntlet of Thebes,Sovereignty,Talisman of Energy
Vamana,Reinforced Greaves,Titan's Bane,Talisman of Energy,Malice,Titan's Bane,Contagion
Nu Wa,Travelers Shoes,Contagion,Spear of Desolation,Lono's Mask,Stone of Fal,Bancroft's Talon
Vulcan,Travelers Shoes,Ethereal Staff,Talisman of Energy,Obsidian Shard,Breastplate of Valor,Midgardian Mail
Anhur,Talaria Boots,Shield of Regrowth,The Crusher,Odysseus' Bow,Oni Hunter's Garb,Mystical Mail
Cabrakan,Shoes of Focus,Celestial Legion Helm,Shield of Regrowth,Spirit Robe,Bulwark of Hope,Spear of the Magus
Xbalanque,Ninja Tabi,Bulwark of Hope,Poisoned Star,Magi's Cloak,Jotunn's Wrath,Sovereignty
Cu Chulainn,Talaria Boots,Oni Hunter's Garb,Titan's Bane,Emperor's Armor,Arondight,Heartward Amulet
Nike,Reinforced Greaves,Runeforged Hammer,Berserker's Shield,Toxic Blade,Gladiator's Shield,Jotunn's Wrath
Thanatos,Warrior Tabi,Spirit Robe,Titan's Bane,Ancile,Rage,Emperor's Armor
Sun Wukong,Talaria Boots,Deathbringer,Relic Dagger,Midgardian Mail,Atalanta's Bow,Toxic Blade
Serqet,Talaria Boots,Talisman of Energy,Berserker's Shield,Ancile,Hydra's Lament,Runic Shield
Susano,Warrior Tabi,Pestilence,Lono's Mask,Golden Blade,Poisoned Star,Atalanta's Bow
Hades,Reinforced Shoes,Pythagorem's Piece,Polynomicon,Shaman's Ring,Hastened Ring,Shaman's Ring
Apollo,Ninja Tabi,Lono's Mask,Deathbringer,Pridwen,Atalanta's Bow,Gauntlet of Thebes
Sobek,Reinforced Shoes,Demonic Grip,Heartward Amulet,Dynasty Plate Helm,Book of Thoth,Lotus Crown
Apollo,Talaria Boots,Titan's Bane,Genji's Guard,Shield of Regrowth,Pridwen,Relic Dagger
Hachiman,Talaria Boots,Wind Demon,The Executioner,Wind Demon,Bulwark of Hope,Midgardian Mail
Horus,Warrior Tabi,Ichaival,Runeforged Hammer,Winged Blade,Ichaival,Gauntlet of Thebes
Cu Chulainn,Reinforced Greaves,Contagion,Arondight,Golden Blade,Mantle of Discord,Hide of the Nemean Lion
Vulcan,Reinforced Shoes,Rod of Asclepius,Magi's Cloak,Bulwark of Hope,Genji's Guard,Warlock's Staff
Cupid,Ninja Tabi,Oni Hunter's Garb,Ichaival,Spirit Robe,Fail-not,Runeforged Hammer
Ao Kuang,Reinforced Shoes,Shaman's Ring,Mantle of Discord,Hide of the Urchin,Soul Reaver,Genji's Guard
Hercules,Ninja Tabi,Rage,Rage,Masamune,Silverbranch Bow,Frostbound Hammer
Hercules,Reinforced Greaves,Gladiator's Shield,Mystical Mail,Blackthorn Hammer,Malice,Transcendence
Achilles,Warrior Tabi,Wind Demon,Oni Hunter's Garb,Mail of Renewal,Poisoned Star,Runic Shield
Osiris,Warrior Tabi,Midgardian Mail,Stone Cutting Sword,Brawler's Beat Stick,Golden Blade,Wind Demon
Chernobog,Ninja Tabi,Fail-not,Malice,Toxic Blade,Silverbranch Bow,Talisman of Energy
Athena,Travelers Shoes,Pythagorem's Piece,Talisman of Energy,Stone of Fal,Spear of the Magus,Genji's Guard
Mercury,Warrior Tabi,Berserker's Shield,Shogun's Kusari,Gladiator's Shield,Gauntlet of Thebes,The Executioner
Terra,Reinforced Shoes,Bulwark of Hope,Spectral Armor,Relic Dagger,Bancroft's Talon,Witchblade
Hachiman,Reinforced Greaves,Magi's Cloak,Pridwen,Mantle of Discord,Bumba's Mask,Hydra's Lament
Ganesha,Reinforced Shoes,Spectral Armor,Bumba's Mask,Obsidian Shard,Relic Dagger,Book of Thoth
Serqet,Warrior Tabi,Blackthorn Hammer,Pridwen,Magi's Cloak,Talisman of Energy,Breastplate of Valor
Hachiman,Talaria Boots,Ancile,Brawler's Beat Stick,Midgardian Mail,Sovereignty,Runeforged Hammer
Amaterasu,Ninja Tabi,Transcendence,Runeforged Hammer,Mantle of Discord,Talisman of Energy,Emperor's Armor
Ra,Travelers Shoes,Stone of Gaia,Spear of the Magus,Staff Of Myrddin,Mantle of Discord,Warlock's Staff
Nox,Travelers Shoes,Winged Blade,Sovereignty,Warlock's Staff,Mail of Renewal,Ethereal Staff
Sobek,Travelers Shoes,Magi's Cloak,Demonic Grip,Shaman's Ring,Celestial Legion Helm,Shogun's Kusari
Osiris,Talaria Boots,Heartward Amulet,Hastened Katana,Toxic Blade,Winged Blade,The Crusher
Athena,Shoes of the Magi,Emperor's Armor,Shogun's Kusari,Soul Reaver,Telkhines Ring,Soul Gem
Cupid,Reinforced Greaves,Titan's Bane,Devourer's Gauntlet,Qin's Sais,Blackthorn Hammer,Stone of Gaia
Serqet,Ninja Tabi,The Crusher,Lono's Mask,Shogun's Kusari,Midgardian Mail,Witchblade
Ganesha,Shoes of the Magi,Genji's Guard,Gem of Isolation,Soul Reaver,Hide of the Nemean Lion,Gauntlet of Thebes
Hercules,Talaria Boots,Titan's Bane,Frostbound Hammer,Toxic Blade,Atalanta's Bow,Toxic Blade
The Morrigan,Shoes of the Magi,Spear of the Magus,Bancroft's Talon,Hastened Ring,Winged Blade,Shield of Regrowth
Anhur,Reinforced Greaves,Spirit Robe,Emperor's Armor,Qin's Sais,Magi's Cloak,Transcendence
Neith,Talaria Boots,The Crusher,Transcendence,Magi's Cloak,Gauntlet of Thebes,Pridwen
Chang'e,Shoes of the Magi,Toxic Blade,Celestial Legion Helm,Spear of the Magus,Warlock's Staff,Sovereignty
Persephone,Shoes of Focus,Book of the Dead,Relic Dagger,Void Stone,Contagion,Book of the Dead
Thanatos,Reinforced Greaves,Witchblade,Emperor's Armor,Silverbranch Bow,Oni Hunter's Garb,Toxic Blade
Jormungandr,Shoes of the Magi,Relic Dagger,Demonic Grip,Void Stone,Gauntlet of Thebes,Jade Emperor's Crown
Pele,Reinforced Greaves,Ichaival,Breastplate of Valor,Void Shield,Hide of the Urchin,Brawler's Beat Stick
Amaterasu,Talaria Boots,Relic Dagger,Midgardian Mail,Atalanta's Bow,Hydra's Lament,Stone of Gaia
Chronos,Shoes of the Magi,Mystical Mail,Talisman of Energy,Void Stone,Talisman of Energy,Polynomicon
Cu Chulainn,Reinforced Greaves,Hydra's Lament,Midgardian Mail,Rangda's Mask,Blackthorn Hammer,Genji's Guard
Apollo,Reinforced Greaves,Spirit Robe,Qin's Sais,Atalanta's Bow,Runic Shield,Deathbringer
Khepri,Shoes of Focus,Mystical Mail,Dynasty Plate Helm,Spectral Armor,Toxic Blade,Polynomicon
Ratatoskr,Acorn of Yggdrasil,Relic Dagger,Shogun's Kusari,Void Shield,Bulwark of Hope,Malice
Ymir,Shoes of Focus,Book of the Dead,Book of Thoth,Spear of the Magus,Spear of Desolation,Book of Thoth
Ullr,Talaria Boots,Contagion,Magi's Cloak,Deathbringer,Transcendence,Bumba's Mask
Pele,Warrior Tabi,Brawler's Beat Stick,Stone Cutting Sword,Berserker's Shield,Gladiator's Shield,Witchblade
Persephone,Shoes of the Magi,Pythagorem's Piece,Mystical Mail,Spear of Desolation,Gauntlet of Thebes,Shield of Regrowth
Agni,Travelers Shoes,Book of the Dead,Pridwen,Hide of the Nemean Lion,Polynomicon,Obsidian Shard
Artemis,Warrior Tabi,Relic Dagger,Asi,Midgardian Mail,Brawler's Beat Stick,Mystical Mail
Xing Tian,Travelers Shoes,Bumba's Mask,Ethereal Staff,Pestilence,Breastplate of Valor,Contagion
Kali,Reinforced Greaves,Odysseus' Bow,Jotunn's Wrath,Atalanta's Bow,The Crusher,Witchblade
The Morrigan,Travelers Shoes,Magi's Cloak,Warlock's Staff,Soul Reaver,Telkhines Ring,Mail of Renewal
Merlin,Shoes of Focus,Celestial Legion Helm,Magi's Cloak,Shield of Regrowth,Bulwark of Hope,Shield of Regrowth
Chernobog,Talaria Boots,Jotunn's Wrath,Pridwen,Contagion,Blackthorn Hammer,Qin's Sais
Mercury,Talaria Boots,Winged Blade,Pestilence,Spectral Armor,Poisoned Star,Shifter's Shield
Skadi,Talaria Boots,Spectral Armor,Titan's Bane,Magi's Cloak,Brawler's Beat Stick,Atalanta's Bow
Athena,Shoes of Focus,Contagion,Pythagorem's Piece,Typhon's Fang,Gem of Isolation,Spirit Robe
Awilix,Warrior Tabi,Titan's Bane,Spectral Armor,Devourer's Gauntlet,Midgardian Mail,Shogun's Kusari
Khepri,Shoes of Focus,Genji's Guard,Book of Thoth,Midgardian Mail,Mail of Renewal,Genji's Guard
Cabrakan,Travelers Shoes,Heartward Amulet,Oni Hunter's Garb,Pestilence,Rod of Asclepius,Celestial Legion Helm
Apollo,Ninja Tabi,Oni Hunter's Garb,Devourer's Gauntlet,Shogun's Kusari,Berserker's Shield,Poisoned Star
Kumbhakarna,Shoes of Focus,Gem of Isolation,Pestilence,Oni Hunter's Garb,Breastplate of Valor,Breastplate of Valor
King Arthur,Talaria Boots,Hide of the Nemean Lion,Mantle of Discord,Shifter's Shield,Runeforged Hammer,Blackthorn Hammer
Hachiman,Reinforced Greaves,Poisoned Star,Deathbringer,The Crusher,Devourer's Gauntlet,Berserker's Shield
Athena,Shoes of the Magi,Celestial Legion Helm,Void Stone,Emperor's Armor,Rod of Asclepius,Magi's Cloak
Baron Samedi,Shoes of Focus,Mystical Mail,Obsidian Shard,Lono's Mask,Warlock's Staff,Contagion
Cerberus,Travelers Shoes,Hide of the Urchin,Gauntlet of Thebes,Hide of the Nemean Lion,Talisman of Energy,Toxic Blade
Bastet,Warrior Tabi,Pridwen,Winged Blade,Silverbranch Bow,Stone Cutting Sword,Lono's Mask
Odin,Reinforced Greaves,Titan's Bane,Mantle of Discord,Shield of Regrowth,Mantle of Discord,Wind Demon
Isis,Reinforced Shoes,Hide of the Nemean Lion,Stone of Gaia,Winged Blade,Gauntlet of Thebes,Hastened Ring
Kuzenbo,Shoes of Focus,Dynasty Plate Helm,Midgardian Mail,Spear of Desolation,Bulwark of Hope,Gauntlet of Thebes
Chiron,Reinforced Greaves,Devourer's Gauntlet,Emperor's Armor,Witchblade,Bumba's Mask,Malice
Cupid,Ninja Tabi,Hide of the Nemean Lion,Silverbranch Bow,Sovereignty,Stone of Gaia,Mantle of Discord
Sylvanus,Shoes of Focus,Hide of the Nemean Lion,Shield of Regrowth,Contagion,Mail of Renewal,Sovereignty
Chaac,Ninja Tabi,Contagion,Bumba's Mask,Winged Blade,Hide of the Urchin,Emperor's Armor
Cabrakan,Shoes of the Magi,Sovereignty,Witchblade,Mystical Mail,Bulwark of Hope,Stone of Fal
Ganesha,Shoes of the Magi,Heartward Amulet,Dynasty Plate Helm,Shaman's Ring,Genji's Guard,Doom Orb
Jing Wei,Talaria Boots,Gauntlet of Thebes,Deathbringer,Stone of Gaia,The Crusher,Poisoned Star
Nike,Ninja Tabi,Devourer's Gauntlet,Genji's Guard,Rage,Odysseus' Bow,Transcendence
